;destination;origin;product;import;export;label;month;year
468;NL;DE;408;583154.0;297097.0;0;1;2016
469;NL;DE;408;796972.0;429718.0;0;2;2016
470;NL;DE;408;1175285.0;242643.0;0;3;2016
471;NL;DE;408;795889.0;530641.0;0;4;2016
472;NL;DE;408;613197.0;240446.0;0;5;2016
473;NL;DE;408;579110.0;326232.0;0;6;2016
474;NL;DE;408;372035.0;305466.0;0;7;2016
475;NL;DE;408;1658679.0;387645.0;0;8;2016
476;NL;DE;408;1034454.0;358113.0;0;9;2016
477;NL;DE;408;1066486.0;382181.0;0;10;2016
478;NL;DE;408;1087224.0;408996.0;0;11;2016
479;NL;DE;408;1023710.0;327607.0;0;12;2016
480;NL;DE;408;1004214.0;268388.0;0;1;2017
481;NL;DE;408;2238841.0;443390.0;0;2;2017
482;NL;DE;408;1418066.0;339759.0;0;3;2017
